"entrykey";"entryterm";"entrytermabbr";"entrytermdef";"entrytermlastmod"
"L22/NETT0125";"Octagon net - Sameoto and Jaroszynski (1976)";"Sameoto octagon net";"Has a 75 cm diameter iron channel octagon mouth opening which was attached to the towing wire with stainless steel snap swivels and held from sliding down by a stop on the wire. Used with a net made of 1 mm nylon mesh and towed at speeds up to 7 knots [Wiebe and Benfield 2003 Plate 3 C].";"2011-10-21"
"L22/NETT0126";"Opening-closing mechanism for plankton nets - Bourdillon et al. (1978)";"Bourdillon mechanism";"A double messenger system to allow a ring net to be sent down closed, opened at depth, and then closed again by a second messenger [Wiebe and Benfield 2003 Plate 7 A]";"2011-10-21"
"L22/NETT0127";"Opening-closing net - Hoyle (1889)";"Hoyle opening-closing net";"A 61 cm diameter conical net (muslin or silk). No other dimensions given. Proposed electrical activation to open/close net [Wiebe and Benfield 2003 Plate 5 C].";"2011-10-21"
"L22/NETT0128";"Opening-closing net system  - Leavitt (1935, 1938)";"Leavitt opening-closing net";"100, 150, and 200 cm diameter nets made of scrim, silk, and stramin respectively. Net dimensions not given [Wiebe and Benfield 2003 Plate 6 A].";"2011-10-21"
"L22/NETT0129";"Horizontal opening-closing net - Bigelow (1913)";"Bigelow opening-closing net";"A hinged ring to which a net with 75 cm diameter mouth was attached. System sent down with ring closed and opened with a messenger. A second messenger released the ring and a draw-string closed the net off.";"2011-10-21"
"L22/NETT0130";"Horizontal opening-closing plankton net - Slack (1955)";"Slack opening-closing net";"Has a 14.0 cm diameter mouth opening with framework 25.4 cm long. Has an internal flowmeter.";"2011-10-21"
"L22/NETT0131";"ORI nets - Omori (1965)";"ORI nets";"Generic term for 160 cm cylinder-cone nets equipped for a Motoda double releasing mechanism.";"2011-10-21"
"L22/NETT0132";"ORI-200 - Omori (1965)";"ORI-200 net";"Has a 160 cm diameter mouth opening with 2x70 cm long cylinder sections plus 2 conical sections 450 cm. All 1.97 mm mesh. Equipped for a Motoda double releasing mechanism.";"2011-10-21"
"L22/NETT0133";"ORI-C - Omori (1965)";"ORI-C net";"Has a 160 cm diameter mouth opening with 2x70 cm long cylinder sections made of 1.97 mm mesh and sail cloth plus 2 conical sections 450 cm (1.97 mm mesh) and 150 cm (.33 mm mesh). Equipped for a Motoda double releasing mechanism.";"2011-10-21"
"L22/NETT0134";"Ocean Research Institute Vertical Muliple Plankton Sampler - Terazaki (1991)";"ORI-VMPS";"Has a 100 cm x 100 cm rectangular mouth opening multiple net system that can be equipped with 4 to 10 nets 510 cm long with 0.33 mm nylon mesh.  Nets are opened/closed by surface commands down transmitted via conduction cable to an underwater unit [Wiebe and Benfield 2003 Plate 31 C].";"2011-10-21"
"L22/NETT0135";"Parachute net - Wheeler (1941)";"Parachute net";"This has a 275 cm diameter parachute opening tapering over a distance of 350 cm to a 100 cm diameter mosquito netting net.  Free fall to bottom with concrete weights, released by salt block dissolution, and floated backwards to surface with gasoline float [Wiebe and Benfield 2003 Plate 11 B].";"2011-10-21"
"L22/NETT0136";"Miniature Plankton Indicator  - Henderson et al. (1936); Glover (1953)";"Henderson MPI";"This indicator had a body length of 33 cm, a diameter of 3.8 cm, an aperture diameter of 1.27 cm, a filter disc of 2.54 cm in diameter and was towed at about 2 knots [Wiebe and Benfield 2003 Plate 13 F].";"2011-10-21"
"L22/NETT0137";"Fixed in-current plankton net - Johannes et al (1970)";"Johannes plankton net";"A pair of 50 cm diameter nets made from number 10 gauze were mounted side by side in a rectangular frame with an extender rod to support the net cod ends horizontally .  The nets and frame were attached 100 cm above the bottom to a wire extending from an anchor stand to a surface float. The nets were free to rotate so that they always faced into the flow [Wiebe and Benfield 2003 Plate 24 B].";"2011-10-21"
"L22/NETT0138";"Plankton purse seine  - Murphy and Clutter (1972)";"Murphy plankton purse seine";"A miniature purse seine 3048 cm long x 640 cm tall with netting of 0.333 mm nylon mesh [Wiebe and Benfield 2003 Plate 12 C].";"2011-10-21"
"L22/NETT0139";"Small plankton sampler - Glover (1953)";"Glover plankton sampler";"This is a small high-speed sampler (similar to the Hardy Standard Plankton Indicator and the Miniature Plankton Indicator) with a 1.9 cm diameter aperture opening, 3.2 cm diameter internal net and 8.9 cm long, and a 30.5 cm overall length [Wiebe and Benfield 2003 Plate 14 A].";"2011-10-21"
"L22/NETT0140";"Plankton-Bar - Tonolli (1951)";"Plankton-Bar";"A device for continuously sampling plankton from several depths simultaneously using a combination of ~18 cm diameter nets with 38 meshes per cm and a pumping system.  Five nets with equidistant spacing on a towing wire were normally used [Wiebe and Benfield 2003 Plate 11 D].";"2011-10-21"
"L22/NETT0141";"Planktonbenthos dredge - Beauchamp (1932)";"Beauchamp planktonbenthos dredge";"A simple pair of U-shaped runners were connected by two cross struts which supported a net which collected animals living  just above the bottom. No opening/closing mechanism was present.";"2011-10-21"
"L22/NETT0142";"Planktonbenthos sampler - Hensen (1895)";"Hensen planktonbenthos sampler";"An eight wheeled carriage-like sled with a net mounted in between the third and fourth pairs of wheels. [Wiebe and Benfield 2003 Plate 22 A]";"2011-10-21"
"L22/NETT0143";"Plummet net - Hovekamp ; Daly [personal communication to Wiebe and Benfield]";"Hovekamp-Daly plummet net";"Construction has a 100 cm diameter mouth with a lead weighted net ring and net with 0.571 mm mesh. For downward collecting, the net was lowered by the cod-end to a pre-determined depth and a messenger used to release the cod-end attachment and draw tight a choke collar near the mouth of the net [Wiebe and Benfield 2003 Plate 9 D].";"2011-10-21"
"L22/NETT0144";"Plummet net type II - Hovekamp (1989) and Daly [personal communication to Wiebe and Benfield]";"Hovekamp-Daly plummet net type II";"A downward-fishing, vertical, closing plummet net with a 1-m2 rectangular mouth opening with a net that is attached to two bars that run along a pair of net bar glides along parallel sides.  A double messenger system is used to opened the net as it falls to depth and to close it as it reaches the bottom of the haul.  The net ~ 180 cm in length has been used with a variety of mesh sizes; 0.163 mm, 0.560 mm, and 1600 mm Nitex.  According to Daly [personal communication], the first messenger releases a bridle attached to the opening net bar under tension from a shock cord.  The second messenger releases two bridles, one attached to the back of the net frame and the other attached to the closing net bar.  The net frame assumes a vertical position, allowing the second net bar to fall, closing the net, and retrieval is begun.";"2011-10-21"
"L22/NETT0145";"PNS neuston net - Zaitsev (1961, 1970)";"Zaitsev PNS";"A five-stage sampling frame with a height of 100 cm and width of 60 cm in which five 60cm x 20 cm rectangular mouth aperture nets are stacked. Nets and frame flotation similar to that described by Zaitsev . Used from drifting or anchored vessel.";"2011-10-21"
"L22/NETT0146";"Pumped multiple sample collection system - Yamazi (1960)";"Yamazi pumped sampling system";"A submersible pump mounted in a circular frame work. Flow from the pump is directed to a flat disc to which 16 to 24 small net cod ends are attached. A ratchet mechanisms rotates the disk and enables the changing of the nets into the path of the flow. System has temperature and light sensors.";"2011-10-21"
"L22/NETT0147";"Reeve net - Reeve (1981)";"Reeve Net";"A very large acrylic cylindrical cod end (30 litres) attached to a simple ring net or a paired net system (with 75 cm diameter nets) to collect fragile gelatinous animals (with 17-litre cod ends). Also describes a pressure activated mechanism to enable the nets to float up the wire to the surface without being affected by the motion of the vessel [Wiebe and Benfield 2003 Plate 3 E, F].";"2011-10-21"
"L22/NETT0148";"Multiple Rectangular Midwater Trawl 1+8 - Roe and Shale (1979)";"Roe modified RMT 1+8";"A combination multiple plankton and nekton collecting system with three 1-m2 and three 8-m2 with pair of nets opened and closed by acoustic command.  Also transmitted acoustically are depth and flow. A modification of system described by Baker et al., 1973. [Wiebe and Benfield 2003 Plate 28 B]";"2011-10-21"
"L22/NETT0149";"The National Institute of Oceanography Rectangular Midwater Trawl combination net 1+8  - Baker et al. (1973)";"RMT 1+8";"A combination 100 cm x 141 cm rectangular flexible  mouth opening net and one with a 283 cm x 400 cm mouth opening, one above the other on the same towing framework. The 8-m2 as described by Clarke . The 1-m2 was 423 cm long and had 0.32 mm nylon mesh. Data telemetry improved to include temperature and flow. Descriptions of scaled up versions of the RMT 8 to  25-m2 and  90-m2 mouth openings provided [Wiebe and Benfield 2003 Plate 28 A].";"2012-06-21"
"L22/NETT0150";"Tucker-style opening-closing Rectangular Midwater Trawl 8 - Clarke (1969)";"RMT 8";"A 283 cm x 400 cm rectangular flexible mouth opening with 5 mm mesh net 1188 cm long. Net mouth is opened and closed acoustically. Pinger used to determine depth.";"2011-10-21"
"L22/NETT0151";"Scotia closing plankton net - Bruce (1904)";"Scotia net";"Essentially like the Nansen net (construction has a 35 to 100 cm net diameter 50 cm cylindrical portion of canvas; 150 cm long conical section of silk).";"2011-10-21"
"L22/NETT0152";"Scripps-Narragansett high-speed multiple plankton sampler - Fish and Snodgrass (1962)";"Scripps-Narragansett HSS";"A 50 cm diameter mouth opening Gulf III sampler with a circular disk holding five cod-end metal mesh buckets.  The disk is rotated to open and close the buckets by electrical commands from the surface transmitted on a double conductor towing cable. Net depth, flowmeter readings, filtered volume are recorded [Wiebe and Benfield 2003 Plate 16 B].";"2011-10-21"
"L22/NETT0153";"Horizontal self-closing net - Kofoid (1911, 1911, 1912)";"Kofoid self-closing net";"Has a 37 cm net diameter. Conical silk bolting cloth net (nos. 12 to 20) about 200 cm long.  Two hinged jaws in the mouth of the net swing forward and downward. Each is activated by a messenger to open then close the net mouth. Used at the end to a cable for horizontal/oblique towing [Wiebe and Benfield 2003 Plate 5D].";"2011-10-21"
"L22/NETT0154";"Standard Plankton Indicator high-speed sampler - Hardy (1926, 1936); Glover (1953)";"Standard Plankton Indicator HSS";"Originally had a 10.1 cm diameter mouth opening expanding to 17.8 cm diameter main body. Overall length 91.4 cm.  In modified form with 3.8 cm diameter aperture opening, 7.6 cm diameter filter disc, 56 cm overall length, and with depressor and stabilizing fins.  Normal towing speed 8 knots [Wiebe and Benfield 2003 Plate 13 D,E].";"2011-10-21"
"L22/NETT0155";"Streamer Plankton sampler - Ishida (1963, 1964)";"Ishida streamer sampler";"A 45 cm diameter mouth opening with a closing door and a metal cylinder 45 cm long to which is attached a net of 5 meters length.  The sampler sinks with closing door open flushing the net. When halted attached line lifted, the door closes and end of net is closed capturing a 600 litre sample [Wiebe and Benfield 2003 Plate 10 E].";"2011-10-21"
"L22/NETT0156";"Surface plankton push net - Miller (1973)";"Miller neuston net";"A pair of rectangular nets (0.505 mm nylon mesh)each 60 cm x 60 cm mouth opening and ~420 cm long are positioned side by side in a framework that is mounted in front of a small catamaran boat that pushes the frame through the water at ~ 2.6 knots.  Samples are removed from the nets through a well in the catamaran floor. Flow is measured with a TSK flowmeter modified to electronically record flow counts [Wiebe and Benfield 2003 Plate 21 E].";"2011-10-21"
"L22/NETT0157";"Rosette-Controlled Tucker Trawl system - Burd and Thompson (1993)";"Burd modified Tucker Trawl";"A 100 cm x 140 cm rectangular mouth opening frame frame with 7 nets made with 0.33 mm mesh. A rosette release mechanism was used to open and close nets by commands from the ship via conducting cable. The frame carried pressure, temperature, conductivity, transmissometer sensors.  Flow past the frame was measured with an ADCP [Wiebe and Benfield 2003 Plate 30 B].";"2011-10-21"
"L22/NETT0158";"Multiple-net Tucker Trawl - Frost and McCrone (1974)";"Frost modified Tucker Trawl";"A 100 cm x 141 cm rectangular flexible mouth opening  with 0.33 mm nylon mesh nets 6 meters long. Originally with 5 nets and increased to 9 nets.  (Also a 200 cm x 282 cm mouth opening trawl with 5 nets of 6.35 mm stretch mesh). System powered electrically on conducting wire and controlled from surface. Monitored depth, angle, and flowmeter revolutions [Wiebe and Benfield 2003 Plate 28 A].";"2011-10-21"
"L22/NETT0159";"Messenger-operated Tucker Trawl - Hopkins et al. (1973)";"Hopkins modified Tucker Trawl";"A 180 cm x 180 cm rectangular mouth opening Tucker trawl with a double messenger activated release mechanism made by General Oceanics. Net is made from 1.1 cm mesh for first 500 cm and 0.33 mm nylon mesh for last 2 meters.  Flow measured with a TSK flowmeter and a time-depth recorder is used to log net trajectory.  Also used with trawl with 180 cm x 360 cm mouth opening. Tow speeds generally are between 2and 2.5 knots [Wiebe and Benfield 2003 Plate 6 C].";"2011-10-21"
"L22/NETT0160";"Messenger-operated Tucker Trawl - Sameoto and Jaroszynski (1976)";"Sameoto modified Tucker Trawl";"A 100 cm x 100 cm and a 400 cm x 400 cm rectangular mouth opening Tucker trawl with a double messenger activated release mechanism. Net is made from coarse mesh.  Flow measured with a digital flowmeter.  A depressor plate is mounted on bottom net bar.  Tow speeds generally are between 2 and 4 knots [Wiebe and Benfield 2003 Plate 6 D].";"2011-10-21"
